City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-02-27 21:00:00,,,,,,,,,,,,,,
Ahmedabad,2015-04-19 02:00:00,148.17,,1.73,19.97,18.07,,1.73,74.7,5.5,0.0,0.0,7.82,325.0,Very Poor
Ahmedabad,2015-04-24 18:00:00,46.5,,2.97,15.42,18.88,,2.97,43.35,56.42,0.0,0.0,1.27,165.0,Moderate
Ahmedabad,2015-05-05 00:00:00,257.32,,2.53,0.23,2.77,,2.53,104.85,58.71,5.85,1.28,108.42,211.0,Poor
Ahmedabad,2015-05-07 12:00:00,29.74,,5.82,20.95,26.1,,5.82,3.85,43.33,0.0,0.0,1.65,155.0,Moderate
Ahmedabad,2015-06-18 03:00:00,23.05,,7.25,11.37,18.62,,7.25,5.81,2.0,2.23,2.9,0.0,188.0,Moderate
Ahmedabad,2015-07-08 02:00:00,44.29,,7.5,8.06,15.57,,7.5,4.43,2.83,1.74,3.17,0.0,250.0,Poor
Ahmedabad,2015-10-06 16:00:00,49.34,,6.52,13.43,19.95,,6.52,35.53,60.0,0.0,0.61,0.0,316.0,Very Poor
Ahmedabad,2015-10-26 10:00:00,,,,,,,,,,,,,,
Ahmedabad,2015-12-27 09:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-04-17 10:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-05-01 08:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-05-22 05:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-06-06 09:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-08-13 06:00:00,161.78,,5.33,9.24,14.57,,5.33,17.47,6.86,0.75,4.3,0.74,496.0,Severe
Ahmedabad,2016-09-01 16:00:00,32.51,,9.13,7.49,16.62,,9.13,19.91,28.01,0.98,3.86,0.67,191.0,Moderate
Ahmedabad,2016-09-09 18:00:00,19.14,,9.29,13.12,22.41,,9.29,15.38,28.42,1.1,4.74,0.66,204.0,Poor
Ahmedabad,2016-09-19 10:00:00,,,,,,,,,,,,,,
Ahmedabad,2016-10-17 07:00:00,137.89,,17.31,14.83,32.13,,17.31,9.83,1.43,0.0,0.0,0.0,551.0,Severe
Ahmedabad,2016-11-15 03:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-01-09 21:00:00,,,,,,,,,,0.0,0.0,0.0,,
Ahmedabad,2017-01-18 13:00:00,,,,,,,,,,0.0,0.0,0.0,,
Ahmedabad,2017-03-02 00:00:00,,,,,,,,,,0.0,0.0,0.0,,
Ahmedabad,2017-04-01 09:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-04-26 19:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-05-23 08:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-06-22 08:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-07-12 16:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-07-17 09:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-08-16 21:00:00,,,,,,,,,,,,,,
Ahmedabad,2017-10-05 10:00:00,,,,,,,,,,,,,,
Ahmedabad,2018-06-05 22:00:00,82.91,,23.89,94.89,64.11,,23.89,49.3,1.8,9.14,71.98,0.65,377.0,Very Poor
Ahmedabad,2018-07-06 06:00:00,46.48,,25.15,47.46,41.92,,25.15,13.7,1.28,3.94,29.83,0.65,539.0,Severe
Ahmedabad,2018-07-17 20:00:00,23.95,,31.75,114.18,79.39,,31.75,36.07,12.99,7.02,36.96,0.65,404.0,Severe
Ahmedabad,2018-07-26 21:00:00,44.54,,46.81,73.7,70.89,,46.81,14.0,,9.16,31.76,0.65,475.0,Severe
Ahmedabad,2018-07-30 20:00:00,40.48,,19.67,50.44,39.28,,19.67,20.35,,3.94,30.05,0.65,349.0,Very Poor
Ahmedabad,2018-09-07 18:00:00,19.76,,12.6,62.58,39.93,,12.6,48.18,55.77,3.94,16.02,0.65,346.0,Very Poor
Ahmedabad,2018-09-09 23:00:00,23.39,,93.54,85.11,111.32,,93.54,160.44,,3.94,16.02,0.65,750.0,Severe
Ahmedabad,2018-09-27 16:00:00,33.54,,6.54,116.9,61.91,,6.54,53.7,162.91,3.94,16.02,0.65,329.0,Very Poor
Ahmedabad,2018-11-11 03:00:00,253.36,,44.02,179.69,67.28,,44.02,67.9,,22.99,72.19,14.35,2019.0,Severe
Ahmedabad,2019-06-02 12:00:00,25.6,126.26,11.01,63.21,43.39,,11.01,185.13,38.57,18.42,84.92,17.11,458.0,Severe
Ahmedabad,2019-06-10 00:00:00,50.73,148.48,34.37,202.81,138.13,,34.37,116.18,17.06,50.85,453.21,78.96,402.0,Severe
Ahmedabad,2019-09-09 08:00:00,24.36,45.92,11.68,45.19,35.37,,11.68,56.47,61.22,2.14,32.05,0.52,318.0,Very Poor
Ahmedabad,2019-10-29 23:00:00,41.84,92.73,9.37,56.52,38.25,,9.37,124.39,44.06,1.15,23.37,2.04,211.0,Poor
Ahmedabad,2020-01-31 14:00:00,68.75,127.05,2.49,28.12,15.57,,2.49,,58.5,1.82,31.52,1.04,434.0,Severe
